long/lat,C/E'd,Uploaded on map,Multiple offices?,The?,Organization Name (English),Organization Name (Chinese),Professional Supervisory Unit (English),Professional Supervisory Unit (Chinese),Organization Origin,Field of Work,Field of Work (Chinese),Registration Location,Date of Registration,Permitted Area(s) of Operation,Website (English),Website (Chinese),Address,Month,Aging,Agriculture,Animal Protection,Arts and Culture,Civil Soc'y Cap'y building,Disabilities,Disaster Relief,Econ. Development,Education,Energy,Environment,Ethnic Affairs,Gender Issues,Health,Human Rights,Infrastructure,Int'l Relations/Exchange,Labor,Law and Governance,LGBTQ Issues,Media,Migrants,Poverty Alleviation,Religion,Rural Issues/Devt,Sport,Technology,Tourism,Trade,Urban Issues/Devt,Youth,ALL OF CHINA,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Xinjiang Bingtuan,Yunnan,Zhejiang,Unknown,Sum sectors,Sum provinces,actarea_ch,Date of Change,Type of change,US Location
"121.450865, 31.228983",x,x,,,Danish Export Association,丹麦出口协会,Shanghai Commission of Commerce,上海市商务委员会,Denmark,Trade,从事有关在华贸易和投资方面的信息交流、市场调研，为促进两国间的经贸往来进行业务联络。,Shanghai,2017-05-31,China,https://www.dk-export.com/,,上海市静安区北京西路1277号国旅大厦17楼03室,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,
"116.462695, 39.945823",x,x,1,,Delegations of German Industry & Commerce (Beijing),德国工商大会,Beijing Commission of Commerce,北京市商务委员会,Germany,Trade,中德贸易、投资促进工作的联络,Beijing,2017-11-16,"Beijing, Hebei, Heilongjiang, Inner Mongolia, Jilin, Liaoning, Tianjin",http://china.ahk.de/?t=1472466726416,http://china.ahk.de/cn/about-us/delegation-of-german-industry-commerce/,北京市朝阳区 东三环北路8号院6号楼8层0811室,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,1,,,,1,,,1,1,,,,,,,,1,,,,,,,1,7,"北京市,天津市,河北省,内蒙古自治区,辽宁省,吉林省,黑龙江省",,,
"113.325516, 23.126247",x,x,1,,Delegations of German Industry & Commerce (Guangdong),德国工商大会,Guangdong Department of Commerce,广东省商务厅,Germany,Trade,有关贸易信息交流、投资中国的市场研究和促进德中经济合作的业务联络。,Guangdong,2017-10-06,"Chongqing, Fujian, Guangdong, Guangxi, Guizhou, Hainan, Hunan, Sichuan, Yunnan",http://china.ahk.de/?t=1472466726416,http://china.ahk.de/cn/about-us/delegation-of-german-industry-commerce/,广东省广州市天河区珠江东路32号利通广场1903A室,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,1,1,1,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,9,"福建省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省 Fuijian, Hunan, Guangdong, Guangxi, Hainan, Chongqing, Sichuan, Guizhou, Yunnan",,,
"121.481949, 31.197102",x,x,1,,Delegations of German Industry & Commerce (Shanghai),德国工商大会,Shanghai Commission of Commerce,上海市商务委员会,Germany,Trade,从事有关在华贸易和投资方面的信息交流，市场调研，为促进德中两国间经贸往来进行业务联络。,Shanghai,2017-11-09,"Anhui, Henan, Hubei, Jiangsu, Jiangxi, Shandong, Shanghai, Zhejiang",http://china.ahk.de/?t=1472466726416,http://china.ahk.de/cn/about-us/delegation-of-german-industry-commerce/,上海市黄浦区蒙自路757号歌斐中心 29楼05单元,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,1,,,,,,1,1,,,,,,,,1,,1,8,"上海市,江苏省,浙江省,安徽省,江西省,山东省,河南省,湖北省",,,
"102.647091, 29.34399",x,x,,,Development Organisation of Rural Sichuan (DORS),四川农村发展组织,Sichuan Department of Poverty Alleviation and Immigration,四川省扶贫和移民工作局,United Kingdom,"Economic Development, Education, Environment, Gender Issues, Health, Poverty Alleviation, Rural Issues/Development",通过在中国农村贫困地区实施小规模的农村项目，通过教育、小型信贷项目、提供服务项目（包括基础设施、可持续生计、能力建设等）、环境改善项目（农村能源、卫生健康）等促进农村发展，从而帮助中国农村脱贫，尤其关注四川农村妇女及最贫困的乡村。,Sichuan,2017-04-01,Sichuan,http://www.dors.org.uk/,http://cn.dors.org.uk/,四川省汉源县富林镇富林大道二段174号6楼,4,,,,,,,,1,1,,1,,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,1,四川省,,,
"113.329908, 23.026857",x,x,,,Doctor Sun Yat-Sen Bo Ai Foundation Limited,孙中山博爱基金会有限公司,Guangdong Department of Civil Affairs,广东省民政厅,Hong Kong,Arts and Culture,宣扬中国文化及社会公益事业。,Guangdong,2017-04-11,"Beijing, Guangdong, Jiangsu",,,广州市番禺区大石迎宾路282号306室,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,3,"广东省,江苏省,北京市",,,
"121.46283, 31.225361",x,x,,,Dubai Chamber,阿联酋迪拜工商会,Shanghai Commission of Commerce,上海市商务委员会,United Arab Emirates,Trade,从事有关在华贸易和投资方面的信息交流、市场调研，为促进两地间经贸往来进行业务联络,Shanghai,2017-05-31,China,http://www.dubaichamber.com/,,上海市静安区石门一路288号一座2015室,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,
"112.980746, 28.191496",x,x,,,Education and Science Society,科技教育协会,Hunan Department of Education,湖南省教育厅,United States,"Disabilities, Education, Rural Issues/Development, Youth",1.提供乡村学校和民间公共图馆图书及信息资源; 2.协助改进教学：与高校或其他公益组织联合举办教师培训和研讨会; 青少年夏令营及研学项目; 3.提供乡村青少年助学金(大学、中学、小学、残疾生),Hunan,2018-09-10,Hunan,http://www.esscare.org/en,http://www.esscare.org/gb/,湖南省长沙市芙蓉区蔡锷南路鸿盛大厦B座1906,21,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,1,湖南省,,,
"116.463364, 39.957564",x,x,,,Electronics and Telecommunications Research Institute,韩国电子通信研究院,Beijing Commission of Science and Technology,北京市科学技术委员会,South Korea,"International Relations/Exchange, Technology",有关信息通信研究领域的调查研究，与中国相关研究机构进行交流和合作，科技成果推广， 以及本院相关的业务联络。,Beijing,2018-07-18,"Beijing, Guangdong, Sichuan, Tianjin, Zhejiang",https://www.etri.re.kr/eng/main/main.etri,,北京市朝阳区 霄云路36号1幢第20层11号房间,19,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,2,5,"北京市,天津市,浙江省,广东省,四川省",,,
"116.441491, 39.909478",x,x,,,Energy Foundation,能源基金会,National Development and Reform Commission,国家发展和改革委员会,United States,"Energy, Environment",为能源基金会（美国）在中国开展可持续能源领域的业务进行协调与联络，支持相关机构进行可持续能源利用的研究、试点和实施。,Beijing,2017-01-23,China,http://www.efchina.org/,http://www.efchina.org/Front-Page-zh,北京市朝阳区建外大街19号国际大厦2403室,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,中国,,,"San Francisco, CA"
"116.422412, 39.948734",x,x,,,Environmental Defense Fund,美国环保协会,Ministry of Ecology and Environment (formerly Ministry of Environmental Protection),中华人民共和国环境保护部,United States,Environment,业务范围：污染防治、环境健康、气候变化、生态保护 活动宗旨：以科学为导向，以经济为手段，以合作为基础，以政策为目标,Beijing,2017-06-23,"Anhui, Beijing, Chongqing, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hainan, Hebei, Heilongjiang, Henan, Hubei, Hunan, Inner Mongolia, Jiangsu, Jiangxi, Jilin, Liaoning, Ningxia, Qinghai, Shaanxi, Shandong, Shanghai, Shanxi, Sichuan, Tianjin, Xinjiang Bingtuan, Yunnan, Zhejiang",https://www.edf.org/,,北京市东城区安定门东大街28号雍和大厦C座501,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,30,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,陕西省,甘肃省,青海省,宁夏回族自治区,新疆兵团","北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,陕西省,甘肃省,青海省,宁夏回族自治区,新疆兵团",,"New York; Washington, DC"
"109.908950, 40.657225",x,x,,,Ethics Research Institute,一般社团法人伦理研究所,Inner Mongolia Forestry and Grassland Administration (formerly Inner Mongolia Forestry Administration),内蒙古林业厅,Japan,"Environment, International Relations/Exchange, Youth",沙漠植树活动，中日青年沙漠交流活动等,Inner Mongolia,2018-04-18,Inner Mongolia,,,内蒙古自治区包头市青山区 六合成四区4单元306室,16,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,内蒙古自治区,,,
"106.565024, 29.541007",x,x,,,EU-China Commission,欧盟中国委员会,Chongqing Commission of Commerce,重庆市商务委员会,Belgium,"Arts and Culture, Economic Development, International Relations/Exchange, Trade",促进欧盟与中国在经济、文化、贸易等多方面的合作，为欧盟与中国政府和企业搭建公开、平等、互惠互利的经济与文化交流平台。,Chongqing,2018-11-09,China,,,重庆市南岸区南滨路162号1幢11层,23,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,中国境内,,,
"116.491393, 39.913817",x,x,,,European American Chamber of Commerce and Industry,欧美工商会,Beijing Commission of Commerce,北京市商务委员会,Belgium,"Technology, Trade",推动中国企业走出去，国外企业走进来；促进中国与国外企业贸易联络，项目对接，技术交流，市场调研 。,Beijing,2018-03-20,"Anhui, Beijing, Chongqing, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hainan, Hebei, Heilongjiang, Henan, Hubei, Hunan, Inner Mongolia, Jiangsu, Jiangxi, Liaoning, Ningxia, Qinghai, Shaanxi, Shandong, Shanghai, Shanxi, Sichuan, Tianjin, Yunnan, Zhejiang",http://www.eacham.org/English/,http://www.eacham.org/,北京市朝阳区 八里庄西里61号楼16层1608室,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,1,1,,2,28,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,陕西省,甘肃省,青海省,宁夏回族自治区",,,
"116.462973, 39.949645",x,x,,,European Automobile Manufacturers Association (ACEA),欧洲汽车工业协会,Beijing Bureau of Economy and Information Technology,北京市经济和信息化局,Belgium,Trade,有关汽车领域的交流与合作，以及相关业务的联络工作。不以营利为目的。,Beijing,2019-10-26,China,https://www.acea.be/,,北京市朝阳区 亮马桥路50号燕莎中心C-402,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,
"116.459336, 39.933462",x,x,,,European Broadcasting Union (EBU),欧洲广播联盟,"National Radio and Television Administration (formerly State Administration of Press, Publication, Radio, Film and Television)",国家新闻出版广电总局,Switzerland,"Arts and Culture, International Relations/Exchange, Media, Sport, Technology",为协助欧洲广播联盟成员与中国方面的沟通联系， 促进双方在体育文化类节目和技术方面的交流合作提供联络,Beijing,2017-11-28,China,https://www.ebu.ch/home,,北京市朝阳区 工体北路甲2号盈科中心A座14层50室,11,,,,1,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,中国境内,,,
"116.458692, 39.933037",x,x,,,Fédération Française de Football,法国足球协会,Beijing Bureau of Education,北京市体育局,France,"International Relations/Exchange, Sport","根据中国法律法规，在中国，特别是首都北京，推广足球运动,开展体育和体育文化领域的交流，组织高水平的国际足球竞赛，开展足球观摩活动，进行足球教育培训，策划实施足球相关活动，推进和中方伙伴的合作等业务。",Beijing,2017-09-04,"Beijing, Chongqing, Fujian, Guangdong, Guangxi, Hebei, Heilongjiang, Hubei, Hunan, Jiangsu, Jilin, Liaoning, Shaanxi, Shandong, Shanghai, Shanxi, Sichuan, Tianjin, Zhejiang",https://www.fff.fr/?home,,北京市朝阳区工体北路甲2号盈科中心A座14层1425、1426,9,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,1,1,,1,1,,,1,1,,1,1,,1,,1,1,,,1,1,1,1,1,1,,,,,1,,2,19,北京市、天津市、河北省、山西省、辽宁省、吉林省、黑龙江省、上海市、江苏省、浙江省、福建省、山东省、湖北省、湖南省、广东省、广西壮族自治区、重庆市、四川省、陕西省,,,
"116.439257, 39.895311",x,x,,,Fédération Internationale de Volleyball,国际排球联合会,General Administration of Sport,国家体育总局,Switzerland,"Economic Development, International Relations/Exchange, Sport",国际合作与联络；赛事活动和会议组织,Beijing,2017-04-26,China,http://www.fivb.com/en,,北京市东城区广渠门内白桥大街15号嘉禾国信大厦4层G01室,4,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,中国,,,
"113.540480, 22.800606",x,x,,,Fédération Internationale des Véhicules Anciens (FIVA),国际老式车辆联合会,Guangdong Department of Commerce,广东省商务厅,Italy,"Arts and Culture, International Relations/Exchange, Trade",促进老式车辆流通；普及推广国际老式车辆收藏标准和行业规范，开展老式车辆行业的技术检验和注册登记；普及推广国际老式车辆技术标准和复原规范，指导和推进老式车辆的翻新复原；为老式车辆相关机构提供业务指导和技术支持；组织相关的各种活动，推动老式车辆文化普及和行业发展；促进中国老式车辆行业的国际交流。,Guangdong,2019-05-07,China,https://www.fiva.org/,N/A,广东省广州市南沙区 进港大道579号自编A栋501室,29,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,中国境内,,,
"116.463273, 39.95279",x,x,,,Federation of German Industries (BDI),德国工业联合会,Beijing Commission of Commerce,北京商务委员会,Germany,"International Relations/Exchange, Law and Governance, Trade",从事与德国工业联合会相关的非营利性业务活动，包括促进中德之间的经贸交流、加深中德政策制定机构的联络沟通、组织高端经贸活动及代表团。,Beijing,2017-11-30,China,https://english.bdi.eu/,,北京市朝阳区 东方东路19号 5号楼D01-0-1201C室,11,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,中国境内,,,
"114.119469, 22.542166",x,x,,The,Federation of Hong Kong Industries,香港工业总会,Guangdong Department of Commerce,广东省商务厅,Hong Kong,Trade,代表本会开展工业生产及管理业务的联络活动,Guangdong,2017-01-19,Guangdong,https://www.industryhk.org/en/,https://www.industryhk.org/sc/,广东省深圳市罗湖区人民南路天安大厦Ａ座２１０３－２１０４房,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,广东省,,,
"116.449367, 39.907816",x,x,,,Federation of Indian Chambers of Commerce & Industry,印度工商会联合会,Beijing Commission of Commerce,北京市商务委员会,India,Trade,为总部的会员企业提供服务，协助总部会员企业与中国国内相关企业协会及机构联系，促进双方经贸关系的发展与交流。,Beijing,2017-09-04,"Beijing, Guangdong, Shanghai, Tianjin",http://www.ficci.in,,朝阳区建国门外大街乙12号双子座大厦（东塔）十层B105单元,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,4,北京市、天津市、上海市、广东省,,,
"106.424589, 29.832091",x,x,,,FEMTEC World Federation of Hydrotherapy and Climatotherapy,世界温泉与气候养生联合会,Chongqing Culture and Tourism Development Commission (formerly Chongqing Tourism Development Commission),重庆市旅游发展委员会,Italy,"Health, Tourism",在亚太地区开展温泉气候和SPA成果分享、研究以及国际合作，推进促进温泉旅游与健康养生深度融合，促进温泉旅游业发展。,Chongqing,2018-11-09,China,http://www.femteconline.org/,,重庆市北碚区团山堡北泉路311号,23,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,中国境内,,,
"102.723469, 25.038697",x,x,,,FHI 360,家庭健康国际组织,Yunnan Health Commission (formerly Yunnan Health and Family Planning Commission),云南省卫生和计划生育委员会,United States,Health,与公益性事业单位和社会组织合作，开展防治艾滋病和结核病项目,Yunnan,2017-04-10,Yunnan,https://www.fhi360.org/,,云南省昆明市盘龙区东风东路48号金泰大厦1302B室,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,云南省,,,"Washington, DC, New York"
"116.391622, 39.999831",x,x,,,Fondation Mérieux,梅里埃基金会,National Health Commission (formerly National Health and Family Planning Commission),国家卫生和计划生育委员会,France,Health,在卫生领域进行科研、建设、传播知识、培训等支持公共卫生的非营利活动。,Beijing,2017-01-23,China,http://www.fondation-merieux.org/,,北京市朝阳区天辰东路7号楼6层610室,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国,,,
"116.439002, 39.908988",x,x,,,Ford Foundation,福特基金会,Chinese People’s Association for Friendship with Foreign Countries,中国人民对外友好协会,United States,"Civil Society Capacity-Building, Economic Development, Education, Health, Poverty Alleviation",在经济、教育、卫生、济困和其他相关领域开展合作，提供资助、服务和咨询，推动研究、试点、交流合作和能力建设。,Beijing,2017-06-30,China,https://www.fordfoundation.org/regions/china/#lang-english,,北京市朝阳区建国门外大街21号国际俱乐部办公楼501室,6,,,,,1,,,1,1,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,中国境内,,,
"116.437247, 39.87635",x,x,,,France Export Céréales,法国粮食出口协会,National Food and Strategic Reserves Administration (formerly State Administration of Grain),国家粮食局,France,Trade,为法中两国粮食行业联络，沟通了解，推动法国粮食特别是小麦、大麦在中国的使用。,Beijing,2017-09-22,China,http://www.franceexportcereales.org/en/,http://www.franceexportcereales.org/zh/,北京市东城区左安门内大街19号,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,
"102.717343, 25.068383",x,x,,The,Fred Hollows Foundation,弗雷德·霍洛基金会,Yunnan Health Commission (formerly Yunnan Health and Family Planning Commission),云南省卫生和计划生育委员会,Australia,Health,与当地相关政府部门、公益性事业单位以及社会组织开展眼健康（防盲治盲）公益性项目合作活动,Yunnan,2017-04-10,Yunnan,http://cn.goodman.com/en/sustainability/charities/the-fred-hollows-foundation,http://cn.goodman.com/sustainability/charities/the-fred-hollows-foundation,云南省昆明市盘龙区白云路滨江俊园期10栋1503室,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,云南省,,,
"116.449322, 39.945494",x,x,1,,Friedrich-Ebert-Stiftung (Beijing),弗里德里希·艾伯特基金会,Chinese Association for International Understanding,中国国际交流协会,Germany,"Environment, International Relations/Exchange, Labor, Law and Governance",增进中德两国人民的相互了解，协同中、德及国际伙伴在以下领域开展交流：法治、善治与参与式治理；社会与生态可持续发展；社会公正、社会保障与工会工作；中德、中欧关系与国际问题。,Beijing,2017-05-19,"Beijing, Chongqing, Gansu, Guizhou, Hebei, Heilongjiang, Henan, Inner Mongolia, Jilin, Liaoning, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan, Tianjin, Tibet, Xinjiang, Xinjiang Bingtuan, Yunnan",http://www.fesdc.org/,,北京市朝阳区新东路1号塔园外交公寓5-1-121,5,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,1,1,,1,,,1,,1,1,1,,,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,4,21,北京市、天津市、重庆市、河北省、云南省、陕西省、山东省、青海省、贵州省、吉林省、辽宁省、山西省、河南省、四川省、甘肃省、黑龙江省、内蒙古自治区、西藏自治区、宁夏回族自治区、新疆维吾尔自治区、新疆兵团,,,
"121.454389, 31.223456",x,x,1,,Friedrich-Ebert-Stiftung (Shanghai),弗里德里希·艾伯特基金会,Shanghai Institutes for International Studies,上海国际问题研究院,Germany,"Environment, International Relations/Exchange, Labor, Law and Governance",增进中德两国人民的相互了解，协同中、德及国际伙伴在以下领域开展交流：法治、善治与参与式治理；社会与生态可持续发展；社会公正、社会保障与工会工作；中德、中欧关系与国际问题,Shanghai,2017-05-31,"Anhui, Fujian, Guangdong, Guangxi, Hainan, Hubei, Hunan, Jiangsu, Jiangxi, Shanghai, Zhejiang",http://www.fesdc.org/,,上海市静安区延安中路829号达安广场东楼7A,5,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,1,,,1,,1,1,,1,,,,1,1,,1,1,,,,,,,1,,,,,,,,1,,4,11,上海市、江苏省、浙江省、安徽省、福建省、江西省、湖北省、湖南省、广东省、广西壮族自治区、海南省,,,
"102.251974, 27.878403",x,x,,,Fu Hui Education Foundation,福慧教育基金会有限公司,Sichuan Department of Education,四川省教育厅,Hong Kong,"Education, Poverty Alleviation",各种教育扶贫项目 与教育有关的公益活动,Sichuan,2018-02-07,Sichuan,http://www.fuhui.ca/en/index.aspx,http://www.fuhui.ca/zh/index.aspx,四川省凉山彝族自治州西昌市 航天大道南侧月中苑小区F幢1-1-1号,14,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,四川省,,,
"121.404086, 31.2025",x,x,,,Fukui Industrial Assistance Center,日本公益财团法人福井产业支援中心,Shanghai Commission of Commerce,上海市商务委员会,Japan,Trade,从事促进福井县与中国的经济贸易往来和投资的市场调研、信息交流和业务联络。,Shanghai,2017-09-18,China,,,上海市长宁区 上海市长宁区延安西路2201号上海国际贸易中心212室,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,
"121.47182, 31.222569",x,x,,,Fukuoka Small and Medium Enterprise Revitalization Center,日本公益财团法人福冈县中小企业振兴中心,Shanghai Commission of Commerce,上海市商务委员会,Japan,Trade,从事有关在华贸易和投资方面的信息交流、市场调研，为促进两地间经贸往来进行业务联络。,Shanghai,2017-09-18,"Anhui, Beijing, Chongqing, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Inner Mongolia, Jiangsu, Jiangxi, Jilin, Liaoning, Ningxia, Qinghai, Shaanxi, Shandong, Shanghai, Shanxi, Sichuan, Tianjin, Tibet, Xinjiang, Yunnan, Zhejiang",,,上海市黄浦区 淮海中路398号7C,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,26,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,江西省,山东省,河南省,湖北省,湖南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区",,,
"121.404103, 31.202295",x,x,,,Fukushima Industrial Revitalization Center,公益财团法人福岛县产业振兴中心,Shanghai Commission of Commerce,上海市商务委员会,Japan,Trade,从事有关在华贸易和投资方面的信息交流、市场调研，为促进两地间经贸往来进行业务联络。,Shanghai,2017-09-12,China,,,上海市长宁区延安西路2201号上海国际贸易中心1710室,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,中国境内,,,
"116.473756, 39.986502",x,x,,,Gangwon Industrial and Economic Revitalization Institute,江原道产业经济振兴院,Beijing Commission of Commerce,北京市商务委员会,South Korea,Trade,协助改善江原道中小企业在华经营环境，促进中韩经贸往来。,Beijing,2018-05-23,"Beijing, Hebei",,,北京市朝阳区 阜通东大街1号院3号楼14层3单元131708,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,"北京市,河北省",,,
"113.449938, 22.361908",x,x,,,General Union of Neighbors’ Association of Macau,澳门街坊会联合总会,Guangdong Department of Civil Affairs,广东省民政厅,Macau,International Relations/Exchange,1. 为在粤的澳门居民及中山居民提供便利生活的社区服务； 2. 为内地与澳门社会工作领域的交流合作提供相关中介性服务,Guangdong,2018-09-04,Guangdong,,http://news.ugamm.org.mo/CN/,广东省中山市三乡镇大布村鹤塘路1号东安金域名苑商住小区5幢26卡,21,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,广东省,,,
"116.349106, 39.976351",x,x,,The,George Institute for Global Health,乔治全球健康研究院,Beijing Health Commission (formerly Beijing Health and Family Planning Commission),北京市卫生和计划生育委员会,Australia,"Education, Gender Issues, Health, Youth",心脑血管、糖尿病、肾病、创伤及伤害、肿瘤、精神卫生等非传染性疾病研究和防控、妇女和儿童健康研究、营养健康研究、医学人才培训和能力提升、移动健康领域的创新研究以及卫生政策研究等方面的工作。,Beijing,2018-02-05,China,https://www.georgeinstitute.org.cn/,https://www.georgeinstitute.org.cn/cn,北京市海淀区 知春路6号锦秋国际大厦B座1801室,14,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,中国境内,,,
